,Country Name,Country Code,Population,Working Age Population Percent,Urban Population Percent,Rural Population Percent,Life Expectancy Years,Refugees by Origin,Refugees by Destination,Land Area Sq km,Forest Area Sq km,Agricultural Land Percent,Arable Land Percent,CO2 Tonnes per Capita,Low Elevation Percent,Water Percent,Irrigation Percent,Fertilizer Intensity,GDP per Capita PPP,Gini Index,Agriculture Percent GDP,Industry Percent GDP,Military Percent GDP,Energy MM BTU per Capita,Renewable Percent,Attended Births Percent,Contraceptive Percent,Diabetes Percent,HIV Prevalence Percent,Immunized DPT Percent,Immunized Measles Percent,Mortality Communicable Percent,Mortality Infant per 1K,Mortality Injury Percent,Mortality Maternal per 100K,Mortality Non-Communicable Deaths Percent,Mortality Traffic per 100K,Surgeons per 100K,Teen Fertility per 1K,Tuberculosis per 100K,Undernourished Percent
0,Indonesia,IDN,275501339.0,67.9363485779646,57.934,42.066,67.57,11740.0,9785.0,1892555.47,48.3619448681206,34.1337419293713,13.8965543768183,2.07165896221472,8.8176611991208,11.0286322881062,,279.222690874525,14657.7823368915,37.9,12.3996592154305,41.4292959518952,0.702587599419717,34.899438093305655,66.089475456589,94.7,63.6,10.6,0.3,85.0,84.0,18.9256595520418,18.9,4.74791485029487,173.0,76.3264256879934,11.3,,33.929,385.0,5.9
1,Malaysia,MYS,33938221.0,69.8246179458756,78.214,21.786,74.884,1355.0,134554.0,328550.0,58.0243189773246,26.0873535230558,2.51407700502207,7.38371541222915,10.125909006039,1.15637931034483,5.15692451289231,2146.25378934625,33525.3012498421,41.2,8.92077642247193,39.0951548785408,0.957534540141842,116.21692850901168,96.6281988978081,99.6,52.2,19.0,0.3,97.0,96.0,18.138603074633,6.5,8.41842161031946,21.0,73.4429783304743,22.5,11.43,9.271,113.0,2.7
2,Chile,CHL,19603733.0,68.6502157522753,87.912,12.088,78.944,1335.0,2133.0,743532.0,24.6574727113292,14.2502770559976,1.76710619045313,4.39515106359663,0.958467364431253,3.99638418079096,8.58285899053535,359.052583910495,30208.8055307995,44.9,3.54438569480449,31.9695242133816,1.8339814713597,79.96770789699046,74.6472122625678,99.8,76.3,10.8,0.6,96.0,94.0,7.11162087300677,5.6,7.76325777813412,15.0,85.1251257357857,14.9,59.32,24.082,17.0,2.5
3,Bolivia,BOL,12224110.0,64.3225805396058,70.83,29.17,63.63,576.0,1116.0,1083300.0,46.7283054555525,35.1881908981815,4.49401569279055,1.53946469560316,0.0,0.687973640856672,0.788924341080608,10.3533069567965,9737.67606836986,40.9,12.4687256566478,26.2017588841709,1.48373193294262,30.261834834190054,84.1532899868775,81.1,66.5,5.5,0.3,69.0,69.0,18.622322153459,20.2,8.7017791007376,161.0,72.6759001252702,21.1,33.87,63.792,108.0,19.4
4,Peru,PER,34049588.0,65.5815150306442,78.708,21.292,72.377,3949.0,6543.0,1280000.0,56.373072890625,19.93413203125,3.35179375,1.39856601861908,0.661118653974335,2.34917733089579,,111.82419115138,15052.5031043298,40.2,7.83333476619927,34.0244762158584,1.15356717784348,31.062375441898816,79.5556835734868,95.7,77.4,4.8,0.4,82.0,74.0,17.5375809963723,11.0,9.87633625552741,69.0,72.5860849365678,13.6,42.88,56.756,151.0,7.0
5,Argentina,ARG,46234830.0,65.0283403864592,92.347,7.65300000000001,75.39,178.0,4094.0,2736690.0,10.4007639520735,43.1023461553921,15.4232886077707,3.4056175404138,1.02928663774484,12.9075342465753,1.19957474480252,62.1791909701625,26530.3231237638,42.0,6.63989827840203,24.1637048898657,0.411211298762518,80.49252979706803,87.7224074796892,98.8,70.1,5.4,0.4,81.0,83.0,17.5964944783087,6.1,5.70904330858032,45.0,76.6944625404959,14.1,50.05,39.065,29.0,3.2
6,Dhekelia,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cyprus,CYP,1251488.0,69.2418268326077,66.911,33.089,81.203,5.0,29280.0,9240.0,18.6699134199134,13.3262878787879,10.2983333333333,5.47199800894842,4.0447415899797,35.2564102564103,21.0403817333898,155.395737132264,51322.69921875,31.7,1.59167656694387,12.1094862656154,1.81479665162789,66.46693069044481,92.9062150260328,99.3,,8.6,0.1,96.0,86.0,4.7917246170997,2.3,5.3466254345444,68.0,89.8616486277654,5.8,84.42,6.827,8.3,2.5
8,India,IND,1417173173.0,67.7972461759962,35.872,64.128,67.24,20832.0,242835.0,2973190.0,24.3598290052099,60.0459264291889,51.9468812958472,1.57609323191648,1.88001213009684,44.7786998616874,42.2657783530901,193.245040717537,8400.3828483398,34.2,16.7308355142151,25.6556856497631,2.42522711696615,25.017112112189245,73.5769790878008,89.4,66.7,9.6,0.2,93.0,95.0,24.166184366593,25.5,9.9006121614115,103.0,65.9332019454579,15.6,6.82,17.234,199.0,16.6
9,China,CHN,1412175000.0,69.0310256609004,63.56,36.44,78.211,161234.0,320.0,9388210.0,23.631528267902,55.462649429444,11.5956076824016,7.75613790659769,4.87880231853816,20.2097479469587,,374.805087542026,21482.5621847397,37.1,7.29999943211008,39.9241121258135,1.59538074333145,88.20234478859592,87.6704307681854,99.9,84.5,10.6,,99.0,99.0,3.54971055780421,5.1,6.81721294175657,23.0,89.6330763010546,17.4,40.13,11.048,52.0,2.5
10,Israel,ISR,9557500.0,59.8859366281901,92.763,7.23699999999999,82.5,900.0,1207.0,21640.0,6.46950092421442,29.7365988909427,17.4214417744917,6.34521600416707,1.70248770424203,170.133333333333,31.2975912975913,265.379310344828,49754.7599085615,38.6,1.26100864987675,17.1721204881357,4.51139144256367,110.15109021002144,97.3821241260262,99.0,68.0,8.5,,98.0,99.0,10.3180117827835,2.7,4.23548509030735,3.0,85.4465034349679,3.9,75.59,7.614,2.6,2.5
11,Palestine,PSE,5043612.0,57.6979896656655,77.291,22.709,73.473,104675.0,2454258.0,6025.0,1.68298755186722,64.9294605809129,6.95435684647303,,0.205186452677127,43.3990147783251,3.65321836714652,371.968973747017,6759.02159778116,33.7,6.31674857805511,17.6851289414104,,,,99.7,57.3,9.2,,98.0,97.0,,12.8,,20.0,,5.3,,43.469,0.5,
12,Lebanon,LBN,5489739.0,62.66550534866,89.262,10.738,75.047,6675.0,1306143.0,10230.0,14.069403714565,66.4027370478983,13.6168132942326,3.79219353680069,2.95352811814316,37.75,,146.324694903087,14330.5156325828,31.8,1.40016561487545,2.7586320737767,3.36622246400457,47.35876824294901,97.6211011078068,98.2,54.5,8.0,0.1,67.0,67.0,5.55337748107005,7.1,5.89549332195732,21.0,88.5511303769937,16.4,87.4,20.306,11.0,
