Entity,Code,Year,Mean income or consumption
Albania,ALB,1996,7.9331574
Albania,ALB,2002,8.108229
Albania,ALB,2005,9.165975
Albania,ALB,2008,10.038169
Albania,ALB,2012,9.517231
Albania,ALB,2014,10.14131
Albania,ALB,2015,12.055373
Albania,ALB,2016,12.541093
Albania,ALB,2017,12.411219
Albania,ALB,2018,13.316507
Albania,ALB,2019,13.749831
Albania,ALB,2020,13.952189
Algeria,DZA,1988,7.464024
Algeria,DZA,1995,7.1112137
Algeria,DZA,2011,9.225503
Angola,AGO,2000,7.3743653
Angola,AGO,2008,6.513752
Angola,AGO,2018,5.4821506
Argentina (urban),,1980,32.47283
Argentina (urban),,1986,35.167553
Argentina (urban),,1987,32.14557
Argentina (urban),,1991,22.81104
Argentina (urban),,1992,23.00446
Argentina (urban),,1993,23.05284
Argentina (urban),,1994,22.774399
Argentina (urban),,1995,21.633886
Argentina (urban),,1996,21.192957
Argentina (urban),,1997,22.206741
Argentina (urban),,1998,21.563793
Argentina (urban),,1999,20.554686
Argentina (urban),,2000,20.104942
Argentina (urban),,2001,18.513603
Argentina (urban),,2002,13.004921
Argentina (urban),,2003,18.40443
Argentina (urban),,2004,19.838154
Argentina (urban),,2005,21.820698
Argentina (urban),,2006,24.166916
Argentina (urban),,2007,24.924786
Argentina (urban),,2008,25.5133
Argentina (urban),,2009,26.400297
Argentina (urban),,2010,27.206146
Argentina (urban),,2011,28.939322
Argentina (urban),,2012,28.674576
Argentina (urban),,2013,28.790789
Argentina (urban),,2014,26.947943
Argentina (urban),,2016,28.144451
Argentina (urban),,2017,29.557884
Argentina (urban),,2018,26.796219
Argentina (urban),,2019,26.09595
Argentina (urban),,2020,22.842615
Argentina (urban),,2021,24.768421
Armenia,ARM,1996,6.7683406
Armenia,ARM,1999,5.100736
Armenia,ARM,2001,4.8466773
Armenia,ARM,2002,5.084001
Armenia,ARM,2003,5.225257
Armenia,ARM,2004,6.4784
Armenia,ARM,2005,7.1383777
Armenia,ARM,2006,6.8902817
Armenia,ARM,2007,7.6751237
Armenia,ARM,2008,7.844795
Armenia,ARM,2009,6.9723577
Armenia,ARM,2010,7.1184015
Armenia,ARM,2011,7.2667
Armenia,ARM,2012,7.5278435
Armenia,ARM,2013,7.810947
Armenia,ARM,2014,8.011235
Armenia,ARM,2015,8.588196
Armenia,ARM,2016,9.041172
Armenia,ARM,2017,8.796435
Armenia,ARM,2018,8.794251
Armenia,ARM,2019,7.906314
Armenia,ARM,2020,7.4731045
Armenia,ARM,2021,7.779152
Australia,AUS,1981,38.338165
Australia,AUS,1985,39.614704
Australia,AUS,1989,40.71301
Australia,AUS,1995,37.48887
Australia,AUS,2001,43.19192
Australia,AUS,2003,44.54257
Australia,AUS,2004,48.479614
Australia,AUS,2008,61.296535
Australia,AUS,2010,61.075916
Australia,AUS,2014,65.29173
Australia,AUS,2016,63.784096
Australia,AUS,2018,64.60964
Austria,AUT,1994,52.79821
Austria,AUT,1995,51.675167
Austria,AUT,1996,49.57932
Austria,AUT,1997,49.529774
Austria,AUT,1998,51.93569
Austria,AUT,1999,53.480297
Austria,AUT,2000,51.975815
Austria,AUT,2003,55.16432
Austria,AUT,2004,58.215557
Austria,AUT,2005,55.63884
Austria,AUT,2006,56.96011
Austria,AUT,2007,59.32459
Austria,AUT,2008,60.31674
Austria,AUT,2009,62.461014
Austria,AUT,2010,63.092503
Austria,AUT,2011,61.909378
Austria,AUT,2012,60.4941
Austria,AUT,2013,63.458008
Austria,AUT,2014,62.47972
Austria,AUT,2015,62.24562
Austria,AUT,2016,65.065186
Austria,AUT,2017,64.19478
Austria,AUT,2018,64.86731
Austria,AUT,2019,66.16818
Austria,AUT,2020,66.339935
Azerbaijan,AZE,1995,5.2907977
Azerbaijan,AZE,2001,6.4593534
Azerbaijan,AZE,2002,8.152217
Azerbaijan,AZE,2003,8.493119
Azerbaijan,AZE,2004,8.740162
Azerbaijan,AZE,2005,9.718767
Bangladesh,BGD,1983,2.7506218
Bangladesh,BGD,1985,3.0364108
Bangladesh,BGD,1988,2.7881467
Bangladesh,BGD,1991,2.7258127
Bangladesh,BGD,1995,3.3093135
Bangladesh,BGD,2000,3.4174178
Bangladesh,BGD,2005,3.8145173
Bangladesh,BGD,2010,4.082853
Bangladesh,BGD,2016,4.47471
Bangladesh,BGD,2022,4.9415913
Belarus,BLR,1993,6.160662
Belarus,BLR,1995,9.197756
Belarus,BLR,1998,3.944828
Belarus,BLR,1999,4.185409
Belarus,BLR,2000,4.6459813
Belarus,BLR,2001,5.7673903
Belarus,BLR,2002,6.3353014
Belarus,BLR,2003,6.5367026
Belarus,BLR,2004,7.34113
Belarus,BLR,2005,9.028547
Belarus,BLR,2006,10.4393
Belarus,BLR,2007,11.997122
Belarus,BLR,2008,12.46643
Belarus,BLR,2009,12.590504
Belarus,BLR,2010,14.204151
Belarus,BLR,2011,14.550512
Belarus,BLR,2012,16.294647
Belarus,BLR,2013,18.165651
Belarus,BLR,2014,18.918251
Belarus,BLR,2015,16.946398
Belarus,BLR,2016,16.280432
Belarus,BLR,2017,16.718977
Belarus,BLR,2018,18.15194
Belarus,BLR,2019,19.132462
Belarus,BLR,2020,19.265026
Belgium,BEL,1985,34.180084
Belgium,BEL,1988,35.94178
Belgium,BEL,1992,38.675163
Belgium,BEL,1995,46.34723
Belgium,BEL,1997,45.57291
Belgium,BEL,2000,54.68478
Belgium,BEL,2003,49.018375
Belgium,BEL,2004,52.893368
Belgium,BEL,2005,52.832836
Belgium,BEL,2006,51.938232
Belgium,BEL,2007,53.447582
Belgium,BEL,2008,54.16454
Belgium,BEL,2009,54.725697
Belgium,BEL,2010,54.32176
Belgium,BEL,2011,52.998184
Belgium,BEL,2012,54.504013
Belgium,BEL,2013,54.39067
Belgium,BEL,2014,55.043015
Belgium,BEL,2015,55.694485
Belgium,BEL,2016,55.09243
Belgium,BEL,2017,55.70167
Belgium,BEL,2018,57.007874
Belgium,BEL,2019,58.986507
Belgium,BEL,2020,58.747814
Belize,BLZ,1993,10.529704
Belize,BLZ,1994,10.236422
Belize,BLZ,1995,12.996195
Belize,BLZ,1996,8.229461
Belize,BLZ,1997,8.5047245
Belize,BLZ,1998,7.747705
Belize,BLZ,1999,7.7671595
Benin,BEN,2003,2.7582295
Benin,BEN,2011,2.9957623
Benin,BEN,2015,3.0038466
Benin,BEN,2018,4.658511
Bhutan,BTN,2003,5.9865766
Bhutan,BTN,2007,7.2404475
Bhutan,BTN,2012,9.905168
Bhutan,BTN,2017,10.762673
Bhutan,BTN,2022,15.7596245
Bolivia,BOL,1997,13.518981
Bolivia,BOL,1999,11.836266
Bolivia,BOL,2000,11.0520115
Bolivia,BOL,2001,11.463397
Bolivia,BOL,2002,11.457341
Bolivia,BOL,2004,13.181912
Bolivia,BOL,2005,14.023064
Bolivia,BOL,2006,14.938176
Bolivia,BOL,2007,14.88119
Bolivia,BOL,2008,15.605117
Bolivia,BOL,2009,16.496235
