Entity,Code,Year,Historical and more recent literacy estimates
Afghanistan,AFG,2011,31.44885
Afghanistan,AFG,2015,38.16804
Albania,ALB,2001,98.71298
Albania,ALB,2008,95.93864
Albania,ALB,2011,96.8453
Albania,ALB,2012,97.24697
Albania,ALB,2015,97.5539
Algeria,DZA,2002,69.8735
Algeria,DZA,2006,72.64868
Algeria,DZA,2008,75.13605
Algeria,DZA,2015,79.6084
Algeria,DZA,2018,81.40784
Andorra,AND,2011,100.0
Angola,AGO,2001,67.40542
Angola,AGO,2014,66.03011
Angola,AGO,2015,71.16416
Antigua and Barbuda,ATG,2001,98.95
Antigua and Barbuda,ATG,2014,98.95
Argentina,ARG,2001,97.19331
Argentina,ARG,2014,98.03402
Argentina,ARG,2015,98.08997
Armenia,ARM,2001,99.40016
Armenia,ARM,2011,99.74441
Armenia,ARM,2015,99.76842
Armenia,ARM,2016,99.74441
Armenia,ARM,2017,99.73607
Armenia,ARM,2020,99.78861
Aruba,ABW,2000,97.29125
Aruba,ABW,2010,96.82264
Aruba,ABW,2015,97.5242
Aruba,ABW,2020,97.99
Australia,AUS,2003,99.0
Austria,AUT,2011,98.0
Azerbaijan,AZE,2007,99.59319
Azerbaijan,AZE,2009,99.75984
Azerbaijan,AZE,2010,99.77114
Azerbaijan,AZE,2011,99.77863
Azerbaijan,AZE,2012,99.77577
Azerbaijan,AZE,2013,99.78936
Azerbaijan,AZE,2014,99.78899
Azerbaijan,AZE,2015,99.78806
Azerbaijan,AZE,2016,99.79006
Azerbaijan,AZE,2017,99.79123
Azerbaijan,AZE,2019,99.79598
Bahamas,BHS,2003,95.6
Bahrain,BHR,2001,86.54874
Bahrain,BHR,2010,94.55679
Bahrain,BHR,2011,92.3
Bahrain,BHR,2015,95.71726
Bangladesh,BGD,2001,47.4855
Bangladesh,BGD,2007,46.6636
Bangladesh,BGD,2011,58.76918
Bangladesh,BGD,2012,57.86075
Bangladesh,BGD,2013,61.01554
Bangladesh,BGD,2014,61.0933
Bangladesh,BGD,2015,65.13733
Bangladesh,BGD,2016,72.75872
Bangladesh,BGD,2017,72.89297
Bangladesh,BGD,2018,73.9122
Bangladesh,BGD,2019,74.68446
Bangladesh,BGD,2020,74.9089
Barbados,BRB,2002,99.7
Belarus,BLR,2009,99.61706
Belarus,BLR,2015,99.72204
Belarus,BLR,2019,99.874
Belgium,BEL,2003,99.0
Belize,BLZ,2001,80.9
Belize,BLZ,2015,82.77682
Benin,BEN,2002,34.65785
Benin,BEN,2006,28.70211
Benin,BEN,2012,32.94882
Benin,BEN,2015,38.44714
Bermuda,BMU,2005,98.0
Bhutan,BTN,2005,52.81469
Bhutan,BTN,2012,55.31756
Bhutan,BTN,2015,63.90682
Bhutan,BTN,2017,66.56115
Bolivia,BOL,2001,86.72367
Bolivia,BOL,2007,90.74347
Bolivia,BOL,2008,90.69811
Bolivia,BOL,2009,91.16783
Bolivia,BOL,2011,92.22615
Bolivia,BOL,2012,94.46057
Bolivia,BOL,2015,92.45508
Bolivia,BOL,2020,93.85256
Bosnia and Herzegovina,BIH,2000,96.6631
Bosnia and Herzegovina,BIH,2011,98.14204
Bosnia and Herzegovina,BIH,2013,96.99177
Bosnia and Herzegovina,BIH,2014,98.37765
Bosnia and Herzegovina,BIH,2015,98.48576
Botswana,BWA,2003,81.18871
Botswana,BWA,2013,86.82318
Botswana,BWA,2014,87.70751
Botswana,BWA,2015,88.22441
Brazil,BRA,2000,86.36788
Brazil,BRA,2004,88.61624
Brazil,BRA,2006,89.61523
Brazil,BRA,2007,90.00937
Brazil,BRA,2008,90.03662
Brazil,BRA,2009,90.29821
Brazil,BRA,2010,90.37918
Brazil,BRA,2011,91.41124
Brazil,BRA,2012,91.33785
Brazil,BRA,2013,91.48424
Brazil,BRA,2014,91.72943
Brazil,BRA,2015,92.0479
Brazil,BRA,2016,92.80844
Brazil,BRA,2017,93.07582
Brazil,BRA,2018,93.2275
Brunei,BRN,2001,92.67113
Brunei,BRN,2011,96.08556
Brunei,BRN,2015,96.65653
Brunei,BRN,2018,97.21411
Bulgaria,BGR,2001,98.20356
Bulgaria,BGR,2011,98.35245
Bulgaria,BGR,2015,98.38858
Burkina Faso,BFA,2003,21.82292
Burkina Faso,BFA,2005,23.5222
Burkina Faso,BFA,2006,22.47258
Burkina Faso,BFA,2007,28.29366
Burkina Faso,BFA,2014,34.5994
Burkina Faso,BFA,2015,37.7467
Burkina Faso,BFA,2018,39.34585
Burkina Faso,BFA,2019,29.66328
Burundi,BDI,2000,59.30362
Burundi,BDI,2008,48.08406
Burundi,BDI,2014,61.51349
Burundi,BDI,2015,85.49609
Burundi,BDI,2017,68.37533
Cambodia,KHM,2004,73.60995
Cambodia,KHM,2008,76.87129
Cambodia,KHM,2009,76.13796
Cambodia,KHM,2014,78.05509
Cambodia,KHM,2015,80.52649
Cameroon,CMR,2000,68.40916
Cameroon,CMR,2007,70.67994
Cameroon,CMR,2010,71.29051
Cameroon,CMR,2015,74.98558
