Entity,Code,Year,Mean income or consumption
Albania,ALB,2002,8.108229
Albania,ALB,2005,9.165975
Albania,ALB,2008,10.038169
Albania,ALB,2012,9.517231
Albania,ALB,2014,10.14131
Albania,ALB,2015,12.055373
Albania,ALB,2016,12.541093
Albania,ALB,2017,12.411219
Albania,ALB,2018,13.316507
Albania,ALB,2019,13.749831
Albania,ALB,2020,13.952189
Algeria,DZA,2011,9.225503
Angola,AGO,2000,7.3743653
Angola,AGO,2008,6.513752
Angola,AGO,2018,5.4821506
Armenia,ARM,2001,4.8466773
Armenia,ARM,2002,5.084001
Armenia,ARM,2003,5.225257
Armenia,ARM,2004,6.4784
Armenia,ARM,2005,7.1383777
Armenia,ARM,2006,6.8902817
Armenia,ARM,2007,7.6751237
Armenia,ARM,2008,7.844795
Armenia,ARM,2009,6.9723577
Armenia,ARM,2010,7.1184015
Armenia,ARM,2011,7.2667
Armenia,ARM,2012,7.5278435
Armenia,ARM,2013,7.810947
Armenia,ARM,2014,8.011235
Armenia,ARM,2015,8.588196
Armenia,ARM,2016,9.041172
Armenia,ARM,2017,8.796435
Armenia,ARM,2018,8.794251
Armenia,ARM,2019,7.906314
Armenia,ARM,2020,7.4731045
Australia,AUS,2001,43.19192
Australia,AUS,2003,44.54257
Australia,AUS,2004,48.479614
Australia,AUS,2008,61.296535
Australia,AUS,2010,61.075916
Australia,AUS,2014,65.29173
Australia,AUS,2016,63.784096
Australia,AUS,2018,64.60964
Austria,AUT,2000,51.975815
Austria,AUT,2003,55.16432
Austria,AUT,2004,58.215557
Austria,AUT,2005,55.63884
Austria,AUT,2006,56.96011
Austria,AUT,2007,59.32459
Austria,AUT,2008,60.31674
Austria,AUT,2009,62.461014
Austria,AUT,2010,63.092503
Austria,AUT,2011,61.909378
Austria,AUT,2012,60.4941
Austria,AUT,2013,63.458008
Austria,AUT,2014,62.47972
Austria,AUT,2015,62.24562
Austria,AUT,2016,65.065186
Austria,AUT,2017,64.19478
Austria,AUT,2018,64.86731
Austria,AUT,2019,66.16818
Austria,AUT,2020,66.339935
Azerbaijan,AZE,2001,6.4593534
Azerbaijan,AZE,2002,8.152217
Azerbaijan,AZE,2003,8.493119
Azerbaijan,AZE,2004,8.740162
Azerbaijan,AZE,2005,9.718767
Bangladesh,BGD,2000,3.4174178
Bangladesh,BGD,2005,3.8145173
Bangladesh,BGD,2010,4.082853
Bangladesh,BGD,2016,4.47471
Belarus,BLR,2000,4.6459813
Belarus,BLR,2001,5.7673903
Belarus,BLR,2002,6.3353014
Belarus,BLR,2003,6.5367026
Belarus,BLR,2004,7.34113
Belarus,BLR,2005,9.028547
Belarus,BLR,2006,10.4393
Belarus,BLR,2007,11.997122
Belarus,BLR,2008,12.46643
Belarus,BLR,2009,12.590504
Belarus,BLR,2010,14.204151
Belarus,BLR,2011,14.550512
Belarus,BLR,2012,16.294647
Belarus,BLR,2013,18.165651
Belarus,BLR,2014,18.918251
Belarus,BLR,2015,16.946398
Belarus,BLR,2016,16.280432
Belarus,BLR,2017,16.718977
Belarus,BLR,2018,18.15194
Belarus,BLR,2019,19.132462
Belarus,BLR,2020,19.265026
Belgium,BEL,2000,54.68478
Belgium,BEL,2003,49.018375
Belgium,BEL,2004,52.893368
Belgium,BEL,2005,52.832836
Belgium,BEL,2006,51.938232
Belgium,BEL,2007,53.447582
Belgium,BEL,2008,54.16454
Belgium,BEL,2009,54.725697
Belgium,BEL,2010,54.32176
Belgium,BEL,2011,52.998184
Belgium,BEL,2012,54.504013
Belgium,BEL,2013,54.39067
Belgium,BEL,2014,55.043015
Belgium,BEL,2015,55.694485
Belgium,BEL,2016,55.09243
Belgium,BEL,2017,55.70167
Belgium,BEL,2018,57.007874
Belgium,BEL,2019,58.986507
Belgium,BEL,2020,58.747814
Benin,BEN,2003,2.7582295
Benin,BEN,2011,2.9957623
Benin,BEN,2015,3.0038466
Benin,BEN,2018,4.658511
Bhutan,BTN,2003,5.9865766
Bhutan,BTN,2007,7.2404475
Bhutan,BTN,2012,9.905168
Bhutan,BTN,2017,10.762673
Bolivia,BOL,2000,11.0520115
Bolivia,BOL,2001,11.463397
Bolivia,BOL,2002,11.457341
Bolivia,BOL,2004,13.181912
Bolivia,BOL,2005,14.023064
Bolivia,BOL,2006,14.938176
Bolivia,BOL,2007,14.88119
Bolivia,BOL,2008,15.605117
Bolivia,BOL,2009,16.496235
Bolivia,BOL,2011,18.122355
Bolivia,BOL,2012,18.54862
Bolivia,BOL,2013,20.447641
Bolivia,BOL,2014,20.56035
Bolivia,BOL,2015,19.820759
Bolivia,BOL,2016,18.884657
Bolivia,BOL,2017,19.080784
Bolivia,BOL,2018,18.746983
Bolivia,BOL,2019,19.607672
Bolivia,BOL,2020,19.59431
Bosnia and Herzegovina,BIH,2001,13.474113
Bosnia and Herzegovina,BIH,2004,20.385946
Bosnia and Herzegovina,BIH,2007,22.214685
Bosnia and Herzegovina,BIH,2011,21.184618
Botswana,BWA,2002,9.558292
Botswana,BWA,2009,11.0097275
Botswana,BWA,2015,8.821087
Brazil,BRA,2001,13.87427
Brazil,BRA,2002,14.087754
Brazil,BRA,2003,13.399859
Brazil,BRA,2004,13.4673395
Brazil,BRA,2005,14.147952
Brazil,BRA,2006,15.197554
Brazil,BRA,2007,15.714912
Brazil,BRA,2008,16.558107
Brazil,BRA,2009,17.066105
Brazil,BRA,2011,18.371971
Brazil,BRA,2012,19.707026
Brazil,BRA,2013,20.54421
Brazil,BRA,2014,20.974777
Brazil,BRA,2015,20.347132
Brazil,BRA,2016,20.346375
Brazil,BRA,2017,20.329958
Brazil,BRA,2018,21.02363
Brazil,BRA,2019,21.11513
Brazil,BRA,2020,21.037209
Bulgaria,BGR,2001,10.723046
Bulgaria,BGR,2003,10.043354
Bulgaria,BGR,2006,11.189068
Bulgaria,BGR,2007,13.376852
Bulgaria,BGR,2008,17.413115
Bulgaria,BGR,2009,18.170862
