Entity,Code,Year,Researchers in R&D (per million people)
Albania,ALB,2008,155.52783
Algeria,DZA,2005,168.71935
Algeria,DZA,2017,819.3427
American Samoa,ASM,2002,84.63101
American Samoa,ASM,2003,403.33423
American Samoa,ASM,2004,150.80176
American Samoa,ASM,2005,100.73537
Angola,AGO,2011,47.48012
Angola,AGO,2016,18.81599
Argentina,ARG,2000,716.55646
Argentina,ARG,2001,688.2777
Argentina,ARG,2002,692.19183
Argentina,ARG,2003,718.52277
Argentina,ARG,2004,765.6402
Argentina,ARG,2005,819.3777
Argentina,ARG,2006,891.83276
Argentina,ARG,2007,974.7181
Argentina,ARG,2008,1035.9989
Argentina,ARG,2009,1035.6254
Argentina,ARG,2010,1123.8331
Argentina,ARG,2011,1180.673
Argentina,ARG,2012,1203.3712
Argentina,ARG,2013,1198.2644
Argentina,ARG,2014,1206.9419
Argentina,ARG,2015,1230.5394
Argentina,ARG,2016,1259.6401
Argentina,ARG,2017,1210.4565
Argentina,ARG,2018,1224.1792
Argentina,ARG,2019,1230.754
Australia,AUS,2000,3475.3252
Australia,AUS,2002,3771.538
Australia,AUS,2004,4084.1516
Australia,AUS,2006,4248.2563
Australia,AUS,2008,4343.1265
Australia,AUS,2010,4532.4014
Austria,AUT,2002,2965.6846
Austria,AUT,2004,3158.7947
Austria,AUT,2005,3449.3345
Austria,AUT,2006,3524.139
Austria,AUT,2007,3810.0315
Austria,AUT,2008,4136.926
Austria,AUT,2009,4140.1045
Austria,AUT,2010,4349.7173
Austria,AUT,2011,4390.3467
Austria,AUT,2012,4669.4473
Austria,AUT,2013,4724.72
Austria,AUT,2014,4947.875
Austria,AUT,2015,5019.4385
Austria,AUT,2016,5372.2397
Austria,AUT,2017,5387.929
Austria,AUT,2018,5639.0635
Austria,AUT,2019,5895.444
Austria,AUT,2020,5751.3228
Azerbaijan,AZE,2019,1718.7982
Azerbaijan,AZE,2020,1734.8549
Bahrain,BHR,2014,368.99127
Belarus,BLR,2020,1465.7135
Belgium,BEL,2000,2970.1943
Belgium,BEL,2001,3123.9893
Belgium,BEL,2002,2958.845
Belgium,BEL,2003,2967.37
Belgium,BEL,2004,3091.6052
Belgium,BEL,2005,3142.73
Belgium,BEL,2006,3284.4307
Belgium,BEL,2007,3395.0176
Belgium,BEL,2008,3411.7527
Belgium,BEL,2009,3519.855
Belgium,BEL,2010,3732.8313
Belgium,BEL,2011,3875.644
Belgium,BEL,2012,4113.2637
Belgium,BEL,2013,4155.911
Belgium,BEL,2014,4528.915
Belgium,BEL,2015,4711.0454
Belgium,BEL,2016,4780.517
Belgium,BEL,2017,4729.5537
Belgium,BEL,2018,5003.946
Belgium,BEL,2019,5253.2104
Belgium,BEL,2020,5750.144
Bolivia,BOL,2000,71.2736
Bolivia,BOL,2001,122.37427
Bolivia,BOL,2002,118.95484
Bolivia,BOL,2009,143.85751
Bolivia,BOL,2010,163.80159
Bosnia and Herzegovina,BIH,2003,61.59419
Bosnia and Herzegovina,BIH,2004,63.42766
